iter	RMSE
0	0.3864362182
1	0.3846790042
2	0.3828778275
3	0.3813236774
4	0.3798210615
5	0.3787106118
6	0.3776440387
7	0.3766421345
8	0.3757631449
9	0.3749448295
10	0.3741638923
11	0.3735148647
12	0.3728635334
13	0.3723789535
14	0.3718648212
15	0.3713512126
16	0.3708420362
17	0.3704693972
18	0.3699765978
19	0.369610055
20	0.3692739897
21	0.3689665434
22	0.3686478193
23	0.3683549932
24	0.3681366333
25	0.3679099584
26	0.3676183841
27	0.3673570631
28	0.3672039455
29	0.3670304841
30	0.3668595665
31	0.3666075448
32	0.3663736336
33	0.3661335651
34	0.3659692357
35	0.3657997882
36	0.3656496744
37	0.3654928038
38	0.3652609634
39	0.3650132719
40	0.3648597792
41	0.3646874731
42	0.3645471201
43	0.3643988755
44	0.3642207439
45	0.3640650531
46	0.3638743888
47	0.363727805
48	0.3635983887
49	0.3634403096
50	0.3633482632
51	0.3632744085
52	0.3630732481
53	0.3629792475
54	0.3627967004
55	0.3626187143
56	0.362451536
57	0.3623401508
58	0.3621890021
59	0.3620647866
60	0.3618893434
61	0.3617464833
62	0.3616151329
63	0.3614943393
64	0.3613839053
65	0.3612165539
66	0.3611361819
67	0.3609655686
68	0.3609128842
69	0.3608332213
70	0.3607283162
71	0.3606167849
72	0.3604970908
73	0.3603425836
74	0.3601872729
75	0.3600207445
76	0.3599453751
77	0.3597827415
78	0.3597028692
79	0.3595988038
80	0.3594474527
81	0.3592916758
82	0.359209136
83	0.3591455385
84	0.358918658
85	0.3587692664
86	0.3586603232
87	0.3585672866
88	0.3584900134
89	0.3583813872
90	0.3582917092
91	0.3581989478
92	0.3581003406
93	0.3579757737
94	0.3579058079
95	0.3577960477
96	0.3576407241
97	0.357528939
98	0.3574086801
99	0.3572520539
100	0.3571454246
101	0.3570485472
102	0.3569747244
103	0.3568620287
104	0.3567550342
105	0.3566494662
106	0.3565433238
107	0.356463936
108	0.3563690609
109	0.3562761452
110	0.3561979824
111	0.3560250723
112	0.355935517
113	0.3558547832
114	0.3557875579
115	0.3555869859
116	0.3555427973
117	0.3553920612
118	0.3553013995
119	0.3552183429
120	0.3550763234
121	0.3549111887
122	0.354782338
123	0.3546399772
124	0.3545099417
125	0.3544333167
126	0.3543544208
127	0.3542703038
128	0.354174572
129	0.3539935354
130	0.3538204078
131	0.3537365791
132	0.3535979812
133	0.3535133373
134	0.3533710276
135	0.3532868049
136	0.3531661621
137	0.3529420079
138	0.3528419979
139	0.3527542634
140	0.3526627002
141	0.3526130509
142	0.3525402773
143	0.3524793415
144	0.3523875426
145	0.3521893647
146	0.3521055266
147	0.351980878
148	0.3518921063
149	0.3517224391
150	0.3515808855
151	0.3514730376
152	0.3513710931
153	0.3512646198
154	0.3511156898
155	0.3509675244
156	0.3509057968
157	0.3508248132
158	0.3507580218
159	0.3506107254
160	0.3505549193
161	0.350431072
162	0.3502914407
163	0.350213821
164	0.3501096667
165	0.3499675602
166	0.3498232771
167	0.3496607814
168	0.3495449005
169	0.3494386177
170	0.3493345188
171	0.3491996357
172	0.3491258951
