iter	Passed	Remaining
0	160	160115
1	174	87081
2	182	60618
3	189	47102
4	195	38981
5	202	33580
6	209	29668
7	216	26816
8	222	24517
9	229	22721
10	236	21241
11	243	20019
12	249	18976
13	265	18688
14	280	18418
15	295	18155
16	309	17902
17	323	17674
18	338	17472
19	347	17010
20	354	16518
21	361	16058
22	367	15625
23	374	15226
24	380	14847
25	387	14506
26	393	14194
27	400	13900
28	406	13621
29	413	13364
30	420	13130
31	426	12902
32	433	12696
33	439	12489
34	446	12298
35	453	12132
36	460	11979
37	466	11821
38	473	11666
39	480	11525
40	486	11386
41	493	11257
42	499	11124
43	506	10995
44	512	10884
45	519	10769
46	525	10658
47	531	10550
48	538	10449
49	544	10352
50	551	10260
51	558	10174
52	564	10088
53	570	10002
54	577	9918
55	584	9848
56	590	9772
57	597	9697
58	603	9624
59	610	9557
60	616	9494
61	623	9426
62	629	9363
63	635	9301
64	642	9243
65	648	9182
66	655	9122
67	661	9065
68	667	9008
69	673	8952
70	679	8897
71	686	8850
72	692	8799
73	699	8752
74	706	8709
75	712	8662
76	718	8616
77	725	8572
78	732	8533
79	738	8494
80	745	8455
81	751	8416
82	758	8376
83	764	8338
84	770	8297
85	777	8259
86	783	8223
87	790	8187
88	796	8149
89	802	8113
90	808	8081
91	815	8047
92	821	8013
93	827	7980
94	834	7950
95	841	7922
96	847	7892
97	854	7863
98	860	7834
99	867	7809
100	874	7779
101	880	7752
102	886	7723
103	893	7696
104	899	7669
105	906	7642
106	912	7616
107	919	7590
108	925	7567
109	933	7550
110	940	7532
111	947	7511
112	953	7487
113	960	7464
114	966	7441
115	973	7417
116	979	7392
117	985	7367
118	991	7343
119	998	7321
120	1004	7298
121	1010	7274
122	1017	7253
123	1023	7233
124	1030	7215
125	1037	7194
126	1043	7174
127	1049	7152
128	1056	7132
129	1062	7112
130	1069	7092
131	1076	7078
132	1083	7060
133	1089	7042
134	1096	7025
135	1102	7005
136	1109	6986
137	1115	6968
138	1122	6950
139	1128	6929
140	1134	6912
141	1141	6894
142	1147	6878
143	1153	6859
144	1160	6841
145	1166	6825
146	1173	6807
147	1179	6789
148	1185	6772
149	1192	6755
150	1198	6739
151	1205	6723
152	1211	6708
153	1218	6692
154	1224	6677
155	1231	6662
156	1238	6648
157	1244	6634
158	1251	6616
159	1257	6600
160	1263	6584
161	1269	6568
162	1276	6552
163	1282	6537
164	1289	6523
165	1295	6508
166	1301	6493
167	1307	6477
168	1314	6462
169	1322	6457
170	1330	6448
171	1337	6437
172	1343	6422
173	1350	6409
174	1356	6395
175	1362	6380
176	1369	6366
177	1375	6352
178	1382	6340
179	1388	6325
180	1395	6312
181	1401	6298
182	1407	6284
183	1414	6274
184	1421	6262
185	1428	6251
186	1435	6241
187	1443	6232
188	1449	6220
189	1456	6208
190	1462	6195
191	1468	6181
192	1475	6167
193	1481	6156
194	1488	6143
195	1494	6131
196	1500	6117
197	1506	6103
198	1513	6091
199	1519	6079
200	1526	6068
201	1532	6054
202	1539	6042
203	1546	6034
204	1553	6023
205	1560	6013
206	1566	6002
207	1573	5991
208	1580	5980
209	1586	5968
210	1593	5956
211	1599	5944
212	1605	5932
213	1611	5919
214	1617	5907
215	1624	5895
216	1630	5882
217	1637	5872
218	1643	5861
219	1650	5851
220	1657	5841
221	1663	5830
222	1669	5818
223	1676	5807
224	1683	5797
225	1689	5787
226	1696	5777
227	1702	5765
228	1709	5756
229	1716	5745
230	1722	5733
231	1728	5722
232	1734	5711
233	1741	5700
234	1748	5690
235	1754	5678
236	1760	5667
237	1766	5656
238	1772	5645
239	1779	5633
240	1785	5623
241	1791	5612
242	1798	5602
243	1804	5592
244	1811	5582
245	1817	5571
246	1824	5561
247	1830	5551
248	1837	5541
249	1843	5531
250	1850	5521
251	1856	5511
252	1863	5501
253	1869	5492
254	1876	5481
255	1882	5471
256	1888	5461
257	1895	5451
258	1902	5441
259	1908	5432
260	1915	5423
261	1922	5413
262	1928	5403
263	1934	5393
264	1941	5383
265	1947	5373
266	1953	5363
267	1960	5353
268	1966	5343
269	1972	5333
270	1979	5323
271	1985	5313
272	1991	5303
273	1997	5293
274	2003	5283
275	2010	5273
276	2016	5264
277	2023	5254
278	2029	5244
279	2035	5234
280	2042	5225
281	2048	5215
282	2055	5206
283	2061	5198
284	2068	5189
285	2074	5179
286	2080	5169
287	2087	5159
288	2093	5150
289	2099	5140
290	2106	5131
291	2112	5123
292	2119	5113
293	2125	5104
294	2131	5094
295	2138	5085
296	2144	5075
297	2150	5066
298	2157	5057
299	2163	5047
300	2169	5038
301	2176	5029
302	2182	5021
303	2189	5012
304	2196	5004
305	2202	4995
306	2209	4988
307	2215	4978
308	2222	4969
309	2228	4960
310	2235	4951
311	2241	4943
312	2247	4933
313	2254	4925
314	2260	4916
315	2267	4907
316	2273	4898
317	2279	4889
318	2286	4880
319	2292	4871
320	2298	4862
321	2305	4853
322	2312	4846
323	2320	4840
324	2326	4832
325	2333	4823
326	2339	4815
327	2345	4806
328	2352	4797
329	2358	4788
330	2365	4780
331	2371	4771
332	2378	4763
333	2385	4755
334	2391	4747
335	2398	4739
336	2404	4730
337	2410	4721
338	2416	4712
339	2423	4703
340	2429	4695
341	2435	4686
342	2441	4677
343	2448	4668
344	2454	4659
345	2460	4651
346	2467	4642
347	2473	4634
348	2480	4626
349	2486	4618
350	2493	4610
351	2499	4601
352	2506	4594
353	2513	4586
354	2520	4579
355	2526	4570
356	2532	4561
357	2539	4553
358	2545	4544
359	2551	4536
360	2558	4528
361	2565	4520
362	2571	4512
363	2577	4503
364	2584	4495
365	2590	4487
366	2597	4479
367	2603	4471
368	2609	4463
369	2616	4454
370	2622	4445
371	2629	4438
372	2635	4430
373	2642	4423
374	2648	4414
375	2654	4406
376	2661	4397
377	2667	4389
378	2673	4381
